title,year,first_pg,last_pg,authors,schools,article_type,volume,issue,abstract,keywords,url,article_url_list_index
Computerized Assessment Technique for Large Classes,1998,167,172,Sudhir I. Mehta***Nem W. Schlecht,Mechanical Engineering Department North Dakota State University***Information Technology Services North Dakota State University,NA,87,2,"The primary purpose of classroom assessment is to determine how well students are learning on a continuous basis and to take necessary corrective action as soon as possible to improve their learning. This paper describes a computerized assessment technique that can be used effectively and easily in large classes. The technique allows instructors and students to monitor the learning process on a daily basis and to quickly point out the need for corrective action, if necessary. Students can view their performance and also the average class performance on the web. The graphical displays allow them to see the trend of their performance over several days. Several reports, automatically generated for instructors, allow them to determine promptly how well certain concepts or topics are learned by students. Use of special codes and optical scanning sheets minimize paper shuffling in large classes, and the computer program automatically grades and updates the database. The program is fairly general and has friendly interfaces; thus, it can be implemented for use by faculty at other universities. According to student response sheets, 80 to 97 percent of the students find different aspects of the technique to be effective in improving teaching-learning in large classes.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00337.x,362
An Assessment Matrix for Evaluating Engineering Programs,1998,173,178,Barbara M. Olds***Ronald L. Miller,Liberal Arts and International Studies Colorado School of Mines***Chemical Engineering and Petroleum Refining Colorado School of Mines,NA,87,2,"In this paper we describe the use of an assessment matrix to help faculty develop an assessment plan for their engineering program. Use of the matrix assures that each of the key steps in an effective assessment plan is addressed: setting goals and objectives; selecting performance criteria; planning an implementation strategy; choosing appropriate measures; setting a timeline; and providing timely feedback. The matrix has been used successfully to provide an assessment framework for engineering curricula, individual courses, and educational research projects.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00338.x,363
Classroom Assessment,1998,179,183,Joseph A. Shaeiwitz,Department of Chemical Engineering West Virginia University,NA,87,2,"Classroom assessment is conducted for the specific purpose of improving teaching and learning within a specific class. It completes a short-term feedback loop in which the measure and feedback occur almost continuously. Curricula with strong assessment plans will contain classroom assessment components. Five examples of classroom assessment are discussed. It is seen that these methods can be used in conjunction with cooperative learning exercises and the development of higher-level thinking skills. The result of using classroom assessment is improved teaching, improved learning, and a higher-quality graduate.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00339.x,364
Developing and Assessing Statewide Competencies for Engineering Design,1998,185,193,Michael S. Trevisan***Denny C. Davis***Richard W. Crain***Dale E. Calkins***Kenneth L. Gentili,Educational Leadership and Counseling Psychology Washington State University***Engineering and Architecture Washington State University***Mechanical and Materials Engineering Washington State University***Mechanical Engineering University of Washington***Physics and Engineering Tacoma Community College,NA,87,2,"An assessment system was developed and piloted in Washington state to evaluate the engineering design competence of community college transfer students and continuing students at Washington State University (WSU) and the University of Washington (UW). A multiple measured approach was employed consisting of a multiple-choice assessment, a team design performance assessment, and an essay, each administered to junior level students at WSU and UW. These assessments covered important design and design-related outcomes valued by the engineering community in Washington and expected of junior level engineering students. Scoring criteria were developed by engineering faculty for the team design and essay components. The assessment results provide faculty and other decision makers at community colleges and four-year institutions with data they need to determine the extent to which students are meeting design competency expectations. Moreover, the approach described in this paper illustrates how institutions can productively address the ABET Engineering Criteria 2000 requirements by developing the assessment support that engineering educators need to make informed programmatic decisions and achieve continuous quality improvement.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00340.x,365
Author Biographies,1998,195,199,na,na,NA,87,2,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00341.x,366
The Editor's Page,1998,1,1,na,na,NA,87,1,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00312.x,367
Hands-on Demonstrations: An Alternative to Full Scale Lab Experiments,1998,7,9,Suzanne M. Kresta,Department of Chemical and Materials Engineering University of Alberta,NA,87,1,"Short demonstrations of basic fluid mechanics principles were developed for use in 50 minute seminar sessions, led by graduate student TA's. These have provided structured training for our TA's, lightened the load on our undergraduate lab facilities, and provided our students with visual, active learning opportunities. The demonstrations and handouts were developed by an undergraduate student as a summer project, and expanded on by successive TA's. The response from the students is best illustrated by the increase in seminar attendance from 30% to over 80%.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00314.x,369
The Non-Use of Computers in Undergraduate Engineering Science Courses,1998,11,14,J. B. Jones,Mechanical Engineering Department Virginia Polytechnic Institute & State University,NA,87,1,"Based on visits to twelve institutions spread across the United States, a survey was made of how engineering science courses have been influenced by the ready availability of computers. Although the sample was too small to support general conclusions, the findings were so consistent that they are presented as a possible stimulus to faculty members and others to make the same observations at other institutions. The survey supports the conclusion that computers are usually not used effectively in undergraduate engineering science courses. Often, they are not used at all. Problem-solving approaches and calculation methods are little influenced by the availability of computers. Typically, faculty members reacted to this conclusion with disbelief and denial until they made their own observations. Speculation is offered on why faculty members do not use computers effectively in engineering science courses and why they initially deny the conclusion above. The challenge suggested for faculty members and industrial advisory board members is to make similar observations. The results may be eye-opening.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00315.x,370
Granting of Academic Credit for Work Based Learning in Scottish Higher Education,1998,15,17,N. S. Edward,"School of Mechanical and Offshore Engineering The Robert Gordon University, Aberdeen, Scotland",NA,87,1,"This paper explores the benefits and costs of formal Work Based Learning (WBL) programmes. It is based on my experience and on the responses of participating employers, learners, and academics in a number of Scottish Institutions to an open questionnaire. Benefits to the employer depended on whether the learner was a full-time student in placement or a company employee in part-time study. In the former case, employers were often surprised at the contribution made by the student and valued contact with the University. The potential for developing their employees in an environment which allowed theory and practice to be related was valued in the latter case. Academics identified closer links with industry and increasing the attractiveness of their courses among the advantages. Part-time students often got an opportunity to advance their qualifications which would otherwise have been denied them. These and other advantages both predictable and unexpected are reviewed. Perhaps the most cogent benefit has been that through awarding of academic credit and the more rigorous approach, the aims of less formal industrial placements are now being achieved. All participants reported attendant costs and problems. These included the logistical problems of planning, mounting, and validating credit for what are often individual schemes for each student, and of assessing student performance. Diversion of organisational effort from its business objectives is mirrored in the need for the college to provide alternatives where learning outcomes cannot be met in the workplace. Obtaining equivalence of opportunity and of assessment standards was of major concern to academics and students alike. Incumbent costs to the organisation were mainly the opportunity costs of diverted equipment and staff. Students often had displacement costs in accommodation travel and low pay. Colleges found that the funding attracted by such schemes generally did not match their true costs. The consensus of opinion, however, was found to be that the benefits outweighed the costs. WBL was seen as a useful option provided it was carefully planned and monitored.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00316.x,371
Engineering Education for the 21st Century: Challenges and Opportunities,1998,19,22,Denice D. Denton,College of Engineering University of Washington,NA,87,1,"Engineering education faces many challenges today. Changes in the external environment, such as funding reductions and increasing costs, are forcing colleges of engineering to face their futures creatively. Engineering faculty, in particular, are well-placed to play leadership roles in generating a campus-wide response to the challenges faced. Working with the rest of the university and with external partners, including K-12, industry, government, foundations, and other countries, engineering faculty can restructure higher education in order to continue producing well-educated graduates and high-quality research.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00317.x,372
The Effects of an Orientation Course on the Attitudes of Freshmen Engineering Students,1998,23,27,Deborah M. Hatton***Phillip C. Wankat***William K. Lebold,Department of Freshman Engineering Purdue University***Department of Freshman Engineering Purdue University***Department of Freshman Engineering Purdue University,NA,87,1,"Increasing the retention rate of beginning students in engineering is an important goal for engineering education. Our study examined the attitudes of freshmen in regard to the academic counseling they received. Orientation classes have been offered in groups of 40 to students on a voluntary basis, and surveys have been done to examine the effectiveness of these courses in increasing students' commitment to and positive perception of the University. A comparison of students enrolled in the orientation course and students in a control group found significant differences in the positive perception of academic counseling. Those students in the orientation course were more satisfied with the counseling they received than those without this course.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00318.x,373
Teaching Engineering Ethics: Assessment of Its Influence on Moral Reasoning Skills,1998,29,34,Donnie J. Self***Elizabeth M. Ellison,Department of Humanities in Medicine Texas A&M University***Department of Humanities in Medicine Texas A&M University,NA,87,1,"As a result of increased concerns regarding ethical issues in engineering, this project assessed the influence on moral reasoning skills of teaching students a course specifically addressing the ethical and social issues in engineering. The Defining Issues Test (DIT), which is based on cognitive moral development theory, was used as the instrument of assessment. Students were pretested, taught a course on engineering ethics, and posttested at the end of the semester. In the Fall of 1995, a total of 301 students participated in the study with 162 students completing the DIT at both the pretest and posttest. In the Spring of 1996, a total of 263 students participated in the study with 155 students completing the DIT at both the pretest and posttest. Analysis of the data revealed a statistically significant increase in the moral reasoning skills of the students for both semesters. Statistical analysis revealed a significant correlation between the change in moral reasoning scores and age in the Spring semester with younger students showing more change but not in the Fall semester. There was no significant relationship between the moral reasoning scores and gender at either the pretest or the posttest, nor in the rate of change by gender. This study demonstrates that the teaching of ethics in engineering can be rigorously measured, tested and analyzed and that it can have a significant positive influence on the moral reasoning skills of the students. However, these findings need to be replicated by other studies in different settings.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00319.x,374
"Increasing Student Awareness of Ethical, Social, Legal, and Economic Implications of Technology",1998,35,45,Eric J. Guilbeau***Vincent B. Pizziconi,"Department of Chemical, Bio, and Materials Engineering Arizona State University***Department of Chemical, Bio, and Materials Engineering Arizona State University",NA,87,1,"The accreditation criteria for engineering programs require that the curriculum introduce students to the ethical, social, economic and safety issues arising from the practice of engineering. Graduates must also demonstrate competence in written and oral communication skills. This paper describes a bioengineering course we developed at Arizona State University to satisfy these criteria and also meet the literacy and critical inquiry requirement of the university. The primary goal of the course is to increase the students' awareness of the global “societal” issues arising from the development and use of bioengineering technology. Secondary goals include improvement of skills in literacy and critical inquiry, oral communication, and teaming. We use cooperative learning to ensure student participation, creative controversy to stimulate interest in the topics being discussed, and TQM tools to enhance team performance. This paper describes the course content, its organization and structure, the methods used to assess student performance, and the strategies we use to facilitate learning. We also discuss how students have reacted to the course and our experiences in delivering the course.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00320.x,375
Teaching Mechanical Design to a Large Class: A Report From Taiwan,1998,47,51,Yeh-Liang Hsu,Department of Mechanical Engineering Yuan-Ze University,NA,87,1,"A widespread problem in mechanical design courses in Taiwan results from the constraints imposed by manpower, facilities, and/or budget on mechanical design projects in the current large-class setting. This paper presents a course model dealing with this problem. The goal is to provide students the tools and environment to experience design. This model was quite successful when implemented in the Department of Mechanical Engineering, Yuan-Ze University, Taiwan, where I teach a junior-level mechanical design course having more than one hundred students in two sections.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00321.x,376
Technological Literacy Classes: The State of the Art,1998,53,61,Nan A. Byars,"Department of Engineering Technology University of North Carolina, Charlotte",NA,87,1,"This paper presents information about technological literacy classes (TLCs) for liberal arts majors, emphasizing an engineering-based approach with a strong hands-on component. Engineering-based TLCs can increase technological literacy for liberal arts students and benefit engineering and engineering technology (ET) programs at the same time. The central goal of this paper is to provide resources for engineering and ET faculty interested in developing TLCs, including a summary of successful teaching strategies, an annotated bibliography, and a discussion of differing approaches to technological literacy. The paper proposes a working definition for technological literacy (drawing on “cultural literacy” (Hirsch)). A survey of technological literacy covers C. P. Snow's The Two Cultures, the New Liberal Arts (NLA) Program, and the Science/Technology/Society (STS) movement. The paper suggests formation of an ASEE group to specifically address technological literacy as a liberal art.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00322.x,377
A Multimedia Application for Teaching Design for Manufacturing,1998,63,69,Brian Riggs***Corrado Poli***Beverly Woolf,Integrated Systems Division Hewlett-Packard***Department of Mechanical and Industrial Engineering University of Massachusetts Amherst***Department of Computer Science University of Massachusetts Amherst,NA,87,1,"This paper describes the interactive multimedia injection molding tutor developed at the University of Massachusetts Amherst. The purpose of the tutor is to use visually stimulating animations in order to enable the user, a student or anyone not familiar with the process of injection molding, in understanding the relationship between part design and the ease or difficulty of producing the part. Preliminary evaluations indicate that the tutor can be successful in achieving these objectives.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00323.x,378
Re-Engineering the Undergraduate Building Construction Program for the 21st Century,1998,71,78,Flynn L. Auchey***Thomas H. Mills***Gloria J. Auchey,Department of Building Construction Virginia Polytechnic Institute and State University***Department of Building Construction Virginia Polytechnic Institute and State University***Department of Management and Information Systems Lambton College,NA,87,1,"This paper presents an integrative model developed this past year by the Building Construction (BC) Department at Virginia Tech (VT), designed to help each student master the competencies necessary to succeed in the 21st Century as a building constructor in a changing global market-place. The curriculum described in this paper presents a dynamic, practical, applied academic model; balances the construction education concepts of practical experience based knowledge with academic inquiry; integrates people and communication skills with the pragmatic building construction skills; and provides a construction program that maintains a strong identity positioned between architecture and engineering. Strategically this task was accomplished by weaving vertical and horizontal integration into the BC curriculum at Virginia Tech. of this first year are presented, including lessons learned, external evaluations, and recommendations for adaptation.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00324.x,379
The Impact of a Discipline-Based Introduction to Engineering Course on Improving Retention,1998,79,85,Marc Hoit***Matthew Ohland,Department of Civil Engineering University of Florida***Department of Chemical Engineering University of Florida,NA,87,1,"An Introduction to Engineering course at the University of Florida was converted from a lecture-based offering to a laboratory format in a project sponsored by the Southeastern University and College Coalition for Engineering Education (SUCCEED) (NSF Cooperative Agreement No. EID-9109853). The revised course rotates student groups through laboratories in each of the undergraduate engineering disciplines. Majors and non-majors receive a grade for this one credit course which meets three hours per week. The laboratories employ active learning and a smaller class size to achieve two objectives: 1) to better inform students about the nature of engineering and its specific disciplines and 2) to improve the retention of these students in engineering. The achievement of the first objective has been shown in our earlier work.1,2 This paper focuses on the achievement of the latter objective, which is shown by a longitudinal study to be dramatically improved. The magnitude (a 17% improvement in retention for the general population and greater for women and minorities) is surprising for a single course, but reasons are suggested which might explain such a large effect.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00325.x,380
Faculty Support for Minority Engineering Programs,1998,87,95,Rachelle Kisst Hackett***Gary R. Martin,Bernerd School of Education University of the Pacific***School of Engineering University of the Pacific,NA,87,1,"A survey was developed and mailed to a random sample of engineering professors at schools across the country with ABET-accredited (Accreditation Board for Engineering and Technology) programs, asking them to assess the “value and appropriateness” of the existence of a formal, structured, general Minority Engineering Program in their School of Engineering, along with the following seven MEP-specific components: MEP student associations, scholarships, study centers, summer bridge programs, special tutoring programs, career fairs, and awards banquets. On a scale of 1–10 (1 = Very low, should not exist at all; 10 = Very high, critical), the engineering professors tended to express general endorsement of MEP's considering the middle of the scale (5.5) represents a neutral position and the sample average was 6.51. However, there was considerable variability (SD=3.13). Greatest support was found for financial and academic forms of assistance, with less support given to clustering-types of activities. In addition, attitudinal differences between types of institutions (public vs. private; research vs. non-research), size, and location of schools were explored. State schools yielded higher scores than private; regionally, the Midwest was the highest and the East was the lowest; and in terms of size, we found that the larger the school, the higher the score. Finally, open-ended comments were analyzed as a qualitative component to shed light on the numerical results.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00326.x,381
Author Biographies,1998,97,100,na,na,NA,87,1,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1998.tb00327.x,382
The Editor's Page,1999,375,376,na,na,NA,88,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00460.x,383
The Academic Bookshelf,1999,377,380,Karl A. Smith,Civil Engineering University of Minnesota,NA,88,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00461.x,384
"Oh, Now I Get It!*",1999,381,383,Mark E. Campbell,Department of Aeronautics and Astronautics University of Washington,NA,88,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00462.x,385
Enabling Effective Engineering Teams: A Program for Teaching Interaction Skills*,1999,385,390,Elaine Seat***Susan M. Lord,Engineering Fundamentals University of Tennessee***Department of Engineering University of San Diego,NA,88,4,"A program for teaching interaction skills to engineers and engineering students has been developed. Based on cognitive style theory, this customized program uses the typical engineer's problem solving strengths to teach skills of interviewing, questioning, exchanging ideas, and managing conflict. The goal of this program is to enable these problem solvers to apply their technical skills more effectively by improving interpersonal interactions. The modular nature of the training program makes it easily transportable, and all or part of it can be used in courses that require students to work in teams. This paper discusses what makes this training “a good fit” with engineering students, the background for its content, and the program's six modules. Personal experiences with teaching this material and recommendations for implementation are discussed. Similarities and differences between teaching the engineering professional and student, themes of student perceptions about the training, and future directions are also addressed.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00463.x,386
Four Strategies to Integrate Assessment into the Engineering Educational Environment*,1999,391,395,Jack McGourty,The Fu Foundation School of Engineering and Applied Science Columbia University,NA,88,4,"Integrating a process of assessment and continuous improvement into academic programs has become a major goal of every engineering educational institution in the United States. This paper draws upon extensive experience in the development and implementation of comprehensive educational assessment and continuous improvement programs in several universities associated with the National Science Foundation's Gateway Coalition for Undergraduate Engineering Education. Through a systems approach, this paper describes four integrated strategies designed to imbed assessment and continuous improvement in the educational environment.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00464.x,387
Teaching in Real-time Wireless Classrooms*,1999,397,402,James Griffioen***W. Brent Seales***James E. Lumpp,Department of Computer Science University of Kentucky***Department of Computer Science University of Kentucky***Department of Electrical Engineering University of Kentucky,NA,88,4,"This paper describes the educational opportunities and challenges of teaching in a real-time wireless classroom (WC) environment. The WC environment allows instructors to replace the conventional blackboard and chalk classroom with a collaborative, networked, portable classroom environment. WCs provide a wide variety of new instructional possibilities, including collaborative presentations and whiteboard interaction, live audio and video, animated examples, independent and instructor-directed web surfing, and other powerful multimedia methods. However, making effective use of these real-time interactive capabilities is not straightforward, and there are many challenges involved with teaching in such an environment. This paper describes our practical experiences teaching with WCs the past year. We discuss the costs and effort needed to prepare course materials for a WC and report on recent experiments that integrate the WC environment with a distance learning effort.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00465.x,388
"Establishing an Early Foundation in Software Engineering: Framework, Experiences and Results*",1999,403,407,Renée McCauley***Ursula Jackson***Bill Manaris,Computer Science Department University of Southwestern Louisiana***Computer Science Department University of Southwestern Louisiana***Computer Science Department University of Southwestern Louisiana,NA,88,4,"In the fall of 1994 we reorganized the content of our three-course introductory computer science sequence in order to introduce software engineering concepts early and provide a consistent software engineering focus from one course to the next. To implement these changes, we established detailed documentation and design standards. These standards would serve as a framework for teaching the software engineering principles and techniques that we considered appropriate and essential to novice software developers. In an attempt to assess the impact of this new teaching approach, we examined student performance in upper-level, project-oriented courses with respect to early exposure to software engineering concepts. This paper describes the documentation and design standards, as well as how these standards have been used as a framework for teaching software engineering concepts early in the curriculum. It also reports on what we have learned through assessment of this approach. indicate that students exposed early to software engineering concepts are indeed better prepared for upper-level project-oriented courses.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00466.x,389
Expanding Participation in Undergraduate Research Using the Affinity Group Model*,1999,409,414,Ann Q. Gates***Patricia J. Teller***Andrew Bernat***Nelly Delgado***Connie Kubo Della-Piana,Department of Computer Science The University of Texas at El Paso***Department of Computer Science The University of Texas at El Paso***Department of Computer Science The University of Texas at El Paso***Department of Computer Science The University of Texas at El Paso***Model Institution for Excellence/Partnership for Excellence in Teacher Education The University of Texas at El Paso,NA,88,4,"The benefits of working in a research group are clear: students develop domain expertise, gain an understanding and appreciation of the research process and its practice, and acquire team, communication, problem-solving, and higher-level thinking skills. Students with this experience are better equipped to make informed judgements about technical matters and to communicate and work in teams to solve complex problems. Clearly, this type of research experience must be made available to a broader population. This paper discusses how the Systems and Software Engineering Affinity Research Group model provides a socialization mechanism and infrastructure that supports the development and management of large research groups that engage undergraduate and graduate students, who have a wide range of skill levels and experiences, in research and projects. This non-hierarchical model, which is based on the cooperative paradigm, integrates students into small research groups and an encompassing large research group, and uses structured activities to develop their research, technical, communication, and group skills.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00467.x,390
The Internationalization of an Undergraduate Program Using Reciprocal Distance Education*,1999,415,419,Nancy Holland***Guillermo Vasquez de Velasco,"College of Architecture, Department of Construction Sciences Texas A&M University***College of Architecture, Department of Architecture Texas A&M University",NA,88,4,"The design and construction industries in the United States have become increasingly global and multidisciplinary over the last two decades. This emphasis will continue to expand even more rapidly in the near future. Undergraduate classes must be designed to reflect this tendency and introduce students to the tools and cultural diversity needed to compete in this environment in the future. This paper presents a model containing three distinct components for adding an international dimension to Architectural and Construction Science programs at Texas A&M University. The three components require varying degrees of commitment to an international dimension. The components are: 1) Insertion of an International Dimension at the Syllabus Level, 2) Integration of an International Dimension at the Curricular Level, and 3) Immersion in a Foreign Instructional Environment. The insertion and integrated components rely on the Internet and videoconferencing technology. These two components have come to be known as the “Reciprocal Distance Education Model.” The third component of the model is a blend of traditional study abroad programs with international internships and reciprocal student exchange programs.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00468.x,391
Multimedia Collaborative Content Creation (mc3): The MSU Lecture Online System*,1999,421,427,Gerd Kortemeyer***Wolfgang Bauer,Division of Science and Mathematics Education Michigan State University***National Superconducting Cyclotron Laboratory and Department of Physics and Astronomy Michigan State University,NA,88,4,"Putting lecture material on-line is a time-consuming undertaking. Before communicating any subject matter, faculty must invest time and effort in dealing with computer-related administrative overhead. Also, in traditional lecture preparations, faculty can profit from years of previously prepared written material, while for on-line classes, they often unnecessarily re-create learning modules that already exist on-line. Lecture Online is a means for faculty to develop modular on-line resources collaboratively and share them with each other. The Learning Online Network, which is currently under development, implements a distributed server network with a strong emphasis on cross-institutional collaborations with intellectual property rights management and optional usage-based royalty mechanisms.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00469.x,392
Articulate Virtual Labs in Thermodynamics Education: A Multiple Case Study*,1999,429,434,Julie Baher,Institute for the Learning Sciences Northwestern University,NA,88,4,"This paper describes the use of CyclePad—an articulate virtual laboratory for creating and analyzing thermodynamics cycles—at three different types of educational institutions: a research university, an engineering technology program in a large state university, and a military academy. Case studies of each site were created based on classroom observations, student surveys, and interviews with faculty. In comparing these three institutions, we found that the context of the school and the ways in which professors chose to implement CyclePad led to different student experiences. Depending on the types of problems that students worked on, they found the software more or less helpful in increasing their understanding of thermodynamics. Students in the class that had the most constraints on its curriculum, where little change was possible, were less able to take full advantage of the software's capabilities.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00470.x,393
First-Year Integrated Curricula: Design Alternatives and Examples*,1999,435,448,Nizar Al-Holou***Nihat M. Bilgutay***Carlos Corleto***John T. Demel***Richard Felder***Karen Frair***Jeffrey E. Froyd***Marc Hoit***Jim Morgan***David L. Wells,"Department of Electrical and Computer Engineering University of Detroit Mercy***Department of Electrical and Computer Engineering Drexel University***Department of Mechanical and Industrial Engineering Texas A&M University—Kingsville***Department of Civil and Environmental Engineering and Geodetic Science, The Ohio State University***Department of Chemical Engineering North Carolina State University***Department of Mechanical Engineering The University of Alabama***Department of Electrical and Computer Engineering Rose-Hulman Institute of Technology***Department of Civil Engineering University of Florida***Department of Civil Engineering Texas A&M University***Focus:HOPE",NA,88,4,"The National Science Foundation has supported creation of eight engineering education coalitions: ECSEL, Synthesis, Gateway, SUCCEED, Foundation, Greenfield, Academy, and SCCME. One common area of work across the coalitions has been restructuring first-year engineering curricula. Within some of the coalitions, schools have designed and implemented integrated first-year curricula. The purpose of this paper is fourfold: 1) to review the different pilot projects that have been developed; 2) to abstract some design alternatives that can be explored by schools interested in developing an integrated first-year curriculum; 3) to indicate some logistical challenges; and 4) to present brief descriptions of various curricula along with highlights of the assessment results that have been obtained.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00471.x,394
A Template for Organizing Efforts to Satisfy ABET EC 2000 Requirements,1999,449,453,Samuel A. Awoniyi,Department of Industrial Engineering FAMU-FSU College of Engineering,NA,88,4,"This paper presents a template that departments may use to organize their efforts to satisfy ABET Engineering Criteria 2000 requirements. The template is based on the premise that each course in a BS curriculum should be designed to service well-defined “Student Learning Tasks” that have been derived from program objectives. The template is such that, as a department creates files and documents to fill it, “Objectives of the Department” will derive from stakeholder demands; “Graduate Attributes” will derive from “Objectives of the Department”; a set of “Student Learning Tasks” will be associated with each “Graduate Attribute”; courses comprising the BS degree curriculum will cover all “Student Learning Tasks”; and a suitable scheme of assessment and self-evaluation will connect all elements together for continuous improvement purposes. The template helps to clarify relations among EC 2000 components, and sifts content from format in doing so. Some information matrix formats are recommended, and the paper closes by indicating how program characteristics such as subject-matter integration and cooperative learning may be defined using some of the matrices presented.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00472.x,395
Computerized Course Planning for ISE Undergraduates,1999,455,457,Richard L. Francis,Department of Industrial & Systems Engineering University of Florida,NA,88,4,"We describe the development and successful implementation of a spreadsheet used to help undergraduates in the Department of Industrial and Systems Engineering at the University of Florida plan their courses until graduation. The sheet is similar to a table with rows for courses, and columns for terms. For each course, the user enters a one in the cell for the term to take the course. The sheet computes various things, checks that all corequisites and prerequisites are satisfied, and that each course is chosen. In addition, various documentation is provided.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00473.x,396
A Survey of Ethics-Related Instruction in U.S. Engineering Programs,1999,459,464,Karl D. Stephan,Department of Electrical and Computer Engineering University of Massachusetts Amherst,NA,88,4,"Ethics as a topic of study is called for by both the present ABET accreditation criteria and the proposed Engineering Criteria 2000. This paper presents the results of a survey of the ethics-related course requirements of virtually all engineering programs in the U.S. Even with a liberal definition of “ethics-related topics,” the data reveal that only about one-fourth of the institutions surveyed require all of their engineering undergraduates to take at least one course in which ethics or ethics-related topics were listed in the catalog description. Because the institutions with extensive ethics course requirements tended to be small, only about one out of five students who graduated from accredited programs in 1996–97 came from an institution with such a requirement. These data show the relative invisibility of ethics-related instruction in present course requirements, and also highlight institutions that can serve as examples for others seeking to improve their instructional efforts in this area.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00474.x,397
Using Industrial Summer Intern Programs as a Tool for Engineering Education,1999,465,469,David J. Bayless,Department of Mechanical Engineering Ohio University,NA,88,4,"Global competition and rapid changes in technology are creating a greater need for cooperation between academia and industry. One well-established tool for promoting cooperation is the summer intern program. Unfortunately, there is limited literature regarding how these programs promote engineering education. This paper documents the objectives, methodology, and results of Project ProbeSM—a unique summer intern program offered by American Electric Power (AEP) to provide qualified engineering students with meaningful education and work experiences in electric power generation under the direct supervision of engineering faculty. This program attempts to foster cooperation between academia and the power industry, enhance the education of future engineers in areas of critical need to the industry, provide a breadth of “real-life” experiences for the development of engineering faculty, and benefit the host corporation. It is hoped that Project Probe could serve as the basis for a viable model for development of similar programs.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00475.x,398
Educating Engineering Professors in Education,1999,471,475,Phillip C. Wankat,School of Chemical Engineering Purdue University,NA,88,4,"Engineering graduates with Ph.D. degrees need to know how to teach for both academic and industrial careers. Ideally, education in pedagogy will occur during graduate school. Research has an appropriate role in universities, but we need to ensure that all engineering professors are “good enough” teachers. Students can learn how to teach through TA training, a course in educational methods in engineering, supervised internships, and a combination of these methods. An action plan to improve teaching is presented.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1999.tb00476.x,399
